Var,USSV0C2Curncy,USSV0F2Curncy,USSV012Curncy,USSV022Curncy,USSV0C5Curncy,USSV0F5Curncy,USSV015Curncy,USSV025Curncy,USSV0C10Curncy,USSV0F10Curncy,USSV0110Curncy,USSV0210Curncy
CPI Ex Food and Energy MoM,-7.414,-2.623,-12.576,-3.383,-7.451,-0.575,-6.441,-5.218,-8.61,-3.069,-1.702,-2.975
,0.861,0.941,0.665,0.873,0.823,0.98,0.764,0.784,0.721,0.861,0.925,0.85
Change in Nonfarm Payrolls,-0.034,-0.151,-0.054,-0.066,-0.012,-0.028,-0.06,-0.08,-0.047,-0.03,-0.052,-0.055
,0.801,0.187,0.562,0.337,0.912,0.713,0.391,0.19,0.543,0.598,0.377,0.279
Conf. Board Consumer Confidence,0.018,-0.084,-0.092,-0.013,-0.007,-0.019,-0.036,0.039,0.008,-0.003,0.024,-0.001
,0.887,0.436,0.298,0.841,0.947,0.787,0.586,0.498,0.918,0.949,0.66,0.977
Durable Goods Orders,-8.009,-5,-5.979,-0.811,-19.831,-5.868,-4.937,-5.021,-6.446,-1.673,1.402,0.171
,0.576,0.677,0.544,0.91,0.08,0.456,0.498,0.436,0.431,0.778,0.819,0.974
FOMC Rate Decision (Upper Bound),4.8,-7.2,-9.6,7.2,-4.8,-9.6,-12,-2.4,0,-2.4,-7.2,4.8
,0.922,0.861,0.777,0.771,0.902,0.723,0.632,0.914,1,0.906,0.733,0.794
GDP Annualized QoQ A,-10.558,-8.893,-8.565,-13.15,-43.45,-29.527,-5.727,-1.903,-13.03,-9.968,-2.87,-1.352
,0.885,0.884,0.864,0.719,0.448,0.46,0.877,0.954,0.753,0.74,0.926,0.96
ISM Manufacturing,-0.46,-0.455,-0.279,-0.123,-0.295,-0.26,-0.207,-0.076,-0.205,-0.166,-0.349,-0.051
,0.033,0.012,0.059,0.255,0.081,0.028,0.058,0.43,0.094,0.062,0,0.525
ISM Non-Manufacturing,-0.022,-0.128,0.026,0.028,-0.038,-0.025,0.014,0.035,0.04,0.047,-0.088,0.004
,0.932,0.546,0.88,0.829,0.849,0.861,0.913,0.757,0.782,0.652,0.417,0.964
Initial Jobless Claims,0.088,0.074,0.077,0.054,0.024,0.053,0.058,0.037,0.015,0.021,0.045,0.027
,0.244,0.242,0.14,0.153,0.691,0.208,0.131,0.274,0.722,0.494,0.162,0.345
PPI Ex Food and Energy MoM,-22.385,5.027,1.481,11.538,6.868,5.791,10.803,17.384,-5.174,3.815,6.693,15.876
,0.456,0.841,0.943,0.444,0.771,0.725,0.479,0.198,0.762,0.759,0.602,0.156
Philadelphia Fed Business Outlook,-0.22,-0.208,-0.107,-0.042,-0.031,-0.137,-0.03,-0.046,-0.007,-0.124,-0.042,-0.028
,0.076,0.045,0.206,0.495,0.753,0.044,0.629,0.406,0.915,0.016,0.422,0.548
Retail Sales Advance MoM,-4.641,-10.255,-8.482,-10.735,-7.232,-7.912,-5.909,-4.187,-6.257,-7.486,1.563,-6.292
,0.836,0.585,0.583,0.341,0.682,0.521,0.605,0.678,0.625,0.42,0.871,0.451
U. of Mich. Sentiment P,0.026,0.013,0.006,-0.072,-0.1,-0.044,-0.077,-0.065,-0.048,-0.021,-0.032,-0.077
,0.864,0.919,0.954,0.345,0.407,0.598,0.322,0.347,0.582,0.741,0.627,0.178
R^2,0.042,0.062,0.04,0.031,0.035,0.053,0.04,0.034,0.021,0.048,0.08,0.031
RMSE,1.451,1.214,0.997,0.728,1.142,0.797,0.738,0.652,0.828,0.6,0.621,0.54
nObs,234,234,234,234,234,234,234,234,234,234,234,234
