Var,SVENY01,SVENY05,SVENY10
CPI Ex Food and Energy MoM,1.577,2.589,2.213
,0.39,0.211,0.232
Change in Nonfarm Payrolls,0.017,0.011,0.008
,0.005,0.087,0.191
Conf. Board Consumer Confidence,0.017,0.019,0.016
,0.003,0.003,0.006
Durable Goods Orders,-0.343,-0.489,-0.299
,0.581,0.485,0.633
FOMC Rate Decision (Upper Bound),4.415,1.905,-0.793
,0.04,0.43,0.713
GDP Annualized QoQ A,3.522,5.214,3.903
,0.265,0.144,0.22
ISM Manufacturing,-0.002,0.005,0.008
,0.809,0.601,0.379
ISM Non-Manufacturing,0.008,0.011,0.009
,0.45,0.378,0.398
Initial Jobless Claims,-0.013,-0.015,-0.012
,0,0,0
PPI Ex Food and Energy MoM,0.308,0.348,0.19
,0.813,0.813,0.885
Philadelphia Fed Business Outlook,0.015,0.015,0.011
,0.006,0.016,0.044
Retail Sales Advance MoM,1.395,1.406,0.983
,0.153,0.201,0.317
U. of Mich. Sentiment P,-0.002,0.002,0.004
,0.774,0.764,0.517
R^2,0.185,0.158,0.133
RMSE,0.063,0.071,0.063
nObs,232,232,232
