Var,USSV0C2Curncy,USSV0F2Curncy,USSV012Curncy,USSV022Curncy,USSV0C5Curncy,USSV0F5Curncy,USSV015Curncy,USSV025Curncy,USSV0C10Curncy,USSV0F10Curncy,USSV0110Curncy,USSV0210Curncy
CPI Ex Food and Energy MoM,-13.784,-8.602,-8.58,-6.678,-11.411,-4.045,-6.101,-2.582,-4.246,-3.499,-3.147,-2.417
,0.115,0.225,0.186,0.24,0.067,0.443,0.201,0.522,0.313,0.339,0.325,0.4
Change in Nonfarm Payrolls,-0.205,-0.203,-0.256,-0.203,-0.177,-0.138,-0.183,-0.154,-0.102,-0.094,-0.122,-0.095
,0.048,0.016,0.001,0.003,0.017,0.027,0.001,0.001,0.041,0.03,0.001,0.006
Conf. Board Consumer Confidence,0.019,-0.009,0.019,-0.009,-0.017,-0.01,-0.016,-0.008,-0.002,-0.016,-0,-0.004
,0.792,0.872,0.728,0.853,0.733,0.825,0.688,0.813,0.962,0.595,0.988,0.864
Durable Goods Orders,-9.799,-4.535,-2.912,-3.012,-5.298,-2.946,-3.699,-1.88,-4.466,-2.995,-1.702,-1.875
,0.35,0.594,0.708,0.659,0.478,0.641,0.517,0.697,0.376,0.495,0.657,0.586
FOMC Rate Decision (Upper Bound),0,0,0,0,0,0,0,0,0,0,0,0
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GDP Annualized QoQ A,-8.563,-19.864,-1.211,6.11,11.437,8.677,1.726,-0.119,0.953,13.07,4.923,4.842
,0.762,0.386,0.954,0.739,0.57,0.61,0.911,0.993,0.944,0.269,0.633,0.601
ISM Manufacturing,-0.111,-0.238,-0.138,-0.272,-0.193,-0.219,-0.171,-0.175,-0.1,-0.115,-0.108,-0.087
,0.357,0.015,0.122,0.001,0.024,0.003,0.009,0.002,0.084,0.022,0.014,0.027
ISM Non-Manufacturing,-0.159,-0.144,-0.091,-0.049,-0.064,-0.077,-0.045,-0.033,-0.033,-0.044,-0.023,-0.018
,0.12,0.082,0.227,0.46,0.378,0.207,0.416,0.488,0.497,0.306,0.539,0.582
Initial Jobless Claims,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
,0.119,0.124,0.316,0.135,0.043,0.095,0.099,0.593,0.014,0.079,0.104,0.517
PPI Ex Food and Energy MoM,-3.295,1.579,0.218,2.906,-2.116,-2.128,-1.019,-1.894,-4.026,-1.148,-2.828,-1.028
,0.733,0.84,0.976,0.643,0.758,0.714,0.846,0.67,0.386,0.776,0.423,0.745
Philadelphia Fed Business Outlook,-0.11,-0.05,-0.029,-0.041,-0.018,-0.027,-0.036,-0.023,-0.029,-0.019,-0.022,-0.018
,0.075,0.321,0.527,0.306,0.677,0.461,0.28,0.416,0.33,0.457,0.333,0.377
Retail Sales Advance MoM,-11.19,-12.362,-14.953,-16.872,-14.077,-19.087,-13.295,-14.821,-8.015,-14.323,-9.63,-6.466
,0.369,0.221,0.106,0.038,0.113,0.011,0.05,0.01,0.181,0.006,0.035,0.114
U. of Mich. Sentiment P,0.036,0.042,0.031,0.023,0.032,0.016,0.023,-0.003,0.062,0.039,0.007,0.016
,0.715,0.6,0.671,0.722,0.648,0.78,0.673,0.939,0.186,0.345,0.841,0.623
R^2,0.021,0.027,0.025,0.037,0.027,0.031,0.033,0.034,0.024,0.031,0.032,0.022
RMSE,2.176,1.766,1.615,1.416,1.552,1.312,1.186,1.004,1.048,0.911,0.796,0.714
nObs,829,829,829,829,829,829,829,829,829,829,829,829
