Var,USSV0C2Curncy,USSV0F2Curncy,USSV012Curncy,USSV022Curncy,USSV0C5Curncy,USSV0F5Curncy,USSV015Curncy,USSV025Curncy,USSV0C10Curncy,USSV0F10Curncy,USSV0110Curncy,USSV0210Curncy
CPI Ex Food and Energy MoM,20.827,13.388,7.653,0.495,22.033,9.123,4.288,-1.622,4.881,-0.106,-8.658,-3.996
,0.376,0.501,0.619,0.967,0.156,0.485,0.684,0.859,0.719,0.992,0.321,0.599
Change in Nonfarm Payrolls,-0.363,-0.259,-0.228,-0.113,-0.175,-0.174,-0.152,-0.142,-0.165,-0.152,-0.121,-0.086
,0.049,0.097,0.059,0.233,0.149,0.088,0.066,0.047,0.121,0.075,0.077,0.148
Conf. Board Consumer Confidence,0.166,0.124,0.101,0.091,0.198,0.109,0.142,0.106,0.2,0.147,0.139,0.103
,0.351,0.408,0.385,0.319,0.092,0.272,0.075,0.124,0.051,0.073,0.036,0.073
Durable Goods Orders,-10.672,-18.208,-20.242,-11.471,-22.893,-14.969,-11.917,-6.281,-4.03,-6.608,-2.327,-1.949
,0.68,0.405,0.232,0.388,0.181,0.298,0.304,0.531,0.787,0.581,0.808,0.816
FOMC Rate Decision (Upper Bound),40.141,-0.282,-37.936,-40.674,-127.405,-85.37,-64.993,-57.982,-55.225,-41.437,-29.661,-29.123
,0.651,0.997,0.513,0.371,0.03,0.084,0.102,0.092,0.281,0.313,0.367,0.31
GDP Annualized QoQ A,27.568,17.997,-1.166,13.236,11.922,11.76,12.439,1.192,20.391,13.158,15.037,6.646
,0.575,0.665,0.971,0.6,0.713,0.667,0.572,0.95,0.472,0.563,0.409,0.675
ISM Manufacturing,-0.206,-0.086,0.018,-0.018,0.043,0.061,0.044,0.042,0.088,0.074,0.05,0.045
,0.459,0.715,0.92,0.901,0.813,0.692,0.725,0.695,0.582,0.563,0.628,0.613
ISM Non-Manufacturing,-0.46,-0.333,-0.192,-0.173,-0.041,-0.049,-0.091,-0.121,0.008,-0.044,-0.076,-0.089
,0.165,0.235,0.376,0.308,0.852,0.788,0.539,0.344,0.968,0.776,0.537,0.403
Initial Jobless Claims,0.225,0.257,0.154,0.1,0.156,0.141,0.095,0.082,0.131,0.113,0.097,0.069
,0.024,0.002,0.018,0.052,0.018,0.011,0.034,0.034,0.023,0.014,0.009,0.032
PPI Ex Food and Energy MoM,-20.48,-13.781,-11.955,-7.045,-3.448,-4.481,-5.595,-4.319,9.529,-0.202,-1.725,0.281
,0.325,0.433,0.379,0.509,0.802,0.698,0.548,0.592,0.427,0.983,0.823,0.967
Philadelphia Fed Business Outlook,-0.267,-0.282,-0.219,-0.146,-0.292,-0.173,-0.176,-0.161,-0.265,-0.22,-0.186,-0.15
,0.122,0.054,0.053,0.1,0.011,0.072,0.023,0.017,0.008,0.006,0.004,0.008
Retail Sales Advance MoM,-17.905,-29.634,-23.263,-22.041,-25.794,-24.959,-21.11,-17.639,-18.063,-23.015,-18.016,-16.617
,0.459,0.147,0.141,0.076,0.106,0.063,0.051,0.06,0.196,0.04,0.045,0.034
U. of Mich. Sentiment P,0.208,-0.004,-0.007,-0.028,0.1,0.011,0.018,-0.054,-0.058,-0.07,-0.057,-0.04
,0.261,0.981,0.956,0.77,0.415,0.913,0.824,0.449,0.589,0.416,0.406,0.501
R^2,0.038,0.044,0.039,0.032,0.057,0.045,0.05,0.051,0.048,0.054,0.061,0.05
RMSE,2.622,2.217,1.715,1.345,1.732,1.457,1.174,1.017,1.514,1.214,0.972,0.847
nObs,501,501,501,501,501,501,501,501,501,501,501,501
