Coefs,StdErr,pValue,tStat,R2,adjR2,Event,Security,RegressVar,nObs
-0.0883800531041363,0.193840288364605,0.648431225073635,-0.455942641489973,0.00406468434771456,0.00406468434771445,University of Michigan Sentiment,USSV0C2Curncy,SurpriseZscore,48
-47.0807581680583,59.3453567009237,0.427582575859013,-0.793335161928945,-0.0281198047151325,-0.0281198047151325,CPI MoM,USSV0C2Curncy,SurpriseZscore,37
-213.300524946629,195.611282814952,0.275523516584398,-1.09043058190264,-0.322496362597175,-0.322496362597175,FOMC Rate Decision,USSV0C2Curncy,SurpriseZscore,18
7.73852799712125,32.3586948602725,0.810990563050122,0.239148334954078,-0.0208013384770249,-0.0208013384770249,GDP Annualized QoQ,USSV0C2Curncy,SurpriseZscore,26
-0.319820189634351,0.255159999691461,0.210056399435463,-1.25341037004655,0.0138098094965283,0.0138098094965283,Initial Jobless Claims,USSV0C2Curncy,SurpriseZscore,103
-0.0622729290448442,0.198618204164176,0.753877406813992,-0.3135308231534,-0.295596694038819,-0.295596694038819,ISM Manufacturing,USSV0C2Curncy,SurpriseZscore,11
-0.135320815515928,0.434836694580305,0.755649219086048,-0.311199163277923,-0.0199348999938189,-0.0199348999938189,Change in Non-farm Payrolls,USSV0C2Curncy,SurpriseZscore,22
-47.8507216153887,67.5673489314181,0.478825430270332,-0.708192971489201,0.0309269860245891,0.0309269860245891,PCE Core Deflator MoM,USSV0C2Curncy,SurpriseZscore,19
92.2117238292869,34.4599763914346,0.00745271171972794,2.67590792233413,0.133850132714535,0.133850132714535,Retail Sales Advance MoM,USSV0C2Curncy,SurpriseZscore,23
37.0251415111776,60.3670940845034,0.539656061493306,0.613333175510301,-0.143949473659485,-0.143949473659485,Unemployment Rate,USSV0C2Curncy,SurpriseZscore,34
0.00847116319884166,0.232728467613296,0.970963938453814,0.0363993424857565,-0.00180492315789849,-0.00180492315789849,University of Michigan Sentiment,USSV0F2Curncy,SurpriseZscore,48
-21.7812796284713,55.8494162621668,0.696536450457215,-0.390000130461995,-0.0169491296437687,-0.0169491296437687,CPI MoM,USSV0F2Curncy,SurpriseZscore,37
-184.353294202933,179.458445008907,0.304290675811272,-1.02727566927142,-0.305498917785472,-0.305498917785472,FOMC Rate Decision,USSV0F2Curncy,SurpriseZscore,18
27.9257802657337,34.0980041267337,0.412794530737688,0.818985772948487,-0.0545084449082032,-0.0545084449082032,GDP Annualized QoQ,USSV0F2Curncy,SurpriseZscore,26
-0.340303594632489,0.267680782941971,0.203620593536087,-1.27130379286981,0.0169021024951361,0.0169021024951361,Initial Jobless Claims,USSV0F2Curncy,SurpriseZscore,103
-0.437504894323438,0.186799113476357,0.0191748362658559,-2.34211440397876,0.101905750275189,0.101905750275189,ISM Manufacturing,USSV0F2Curncy,SurpriseZscore,11
-0.131842536645225,0.456966976648911,0.772951362007658,-0.288516552360238,0.00102809421478234,0.00102809421478245,Change in Non-farm Payrolls,USSV0F2Curncy,SurpriseZscore,22
